,track_id,track_name,danceability,loudness,acousticness,liveness,valence,tempo
115,2z5t8IRRtt5vwkSzP9umJo,your place,0.448,-4.083,0.134,0.317,0.418,76.968
116,6vsa5VDsIaWC8oJnowU65l,This Town's Been Too Good To Us,0.696,-7.035,0.0603,0.175,0.577,104.989
117,2neydrTb5GVPRHNNmW0iPP,Last Rodeo,0.467,-4.164,0.0419,0.277,0.459,160.036
118,5ya0TmUQw2wHMkq36rPsnd,World on Fire,0.461,-4.871,0.000219,0.104,0.411,95.964
119,4l5w5qGInIhwfvpYmPIYdK,Different 'Round Here,0.457,-5.979,8.66e-05,0.13,0.318,141.936
120,2uHgCkaiHwZKl7tDBTVsyW,No Caller ID,0.332,-6.09,0.127,0.189,0.11,146.5
121,0ayd4fDb6rMZl9uqCY3Hzl,Old Dirt Roads,0.509,-3.229,0.25,0.236,0.767,165.964
122,2hNQDbZcN3vqRAuwiz7poI,Tucson Too Late,0.661,-7.19,0.628,0.0852,0.385,105.917
123,2dPwBKr5uJeCeyd5IoWi8W,We Don't Fight Anymore,0.619,-6.517,0.673,0.184,0.419,129.944
124,4dtIxANFBU6CfhI9c2hf2g,Coal,0.522,-9.561,0.753,0.165,0.439,97.045
125,30LZU3ReFIndjHLfaahreM,Save Me (with Lainey Wilson),0.564,-5.018,0.382,0.11,0.146,83.03
126,1hgINxfKQlJOikzd9skvC2,Boys Back Home,0.479,-2.014,0.0686,0.0983,0.564,140.154
127,2eGvz6O6tVnh9nKiitDEhZ,I Can Feel It,0.529,-5.816,0.00281,0.0287,0.55,116.004
128,1TiAmIJNwfRmneV5iyTdMG,Tell Me Tennessee,0.544,-4.608,0.0175,0.122,0.481,115.017
129,0wXThIDxO3YRJCpPgnmbkw,Where It Ends,0.431,-5.067,0.259,0.0879,0.648,170.041
130,12qLkwjMVp1eTvHfjl2M5g,Anybody But You,0.404,-6.193,0.195,0.326,0.535,175.914
131,23bEisUvcSmIELLy4CMhkN,Let Your Boys Be Country,0.375,-4.048,0.345,0.0943,0.565,178.636
132,11VDLa4XbXDIPC6rxbpAy1,Another Round,0.444,-5.475,0.0387,0.324,0.298,78.037
133,6LaW2p9BxzbSGefvoW8Y4T,Tennessee Don't Mind,0.368,-4.171,0.00428,0.201,0.399,172.954
134,0svx82ZXx8NlIwf7hihUNa,Don’t Mess With Exes,0.764,-5.44,0.0557,0.102,0.669,112.01
135,65M92JpTbAdHmTQm4jGaDa,Think I'm In Love With You,0.671,-14.124,0.187,0.132,0.607,91.866
136,6DHPLbudo5JXNdUlG7zDcC,Please Don't Go,0.683,-7.487,0.379,0.0845,0.452,85.455
137,1olWQ1LOUYs4VBwx5N8Lz9,In Your Love,0.534,-9.559,0.844,0.115,0.243,127.357
138,5uTQC24DoCTc287oH8Xpp4,I’m In Love,0.658,-4.282,0.218,0.264,0.826,152.029
139,2d3KkBpDlOCLT5Wlhrwhfd,Things I Take For Granted,0.463,-5.952,0.169,0.359,0.454,162.983
140,3fonAuTvuI5KMcmnueLAPq,Straight and Narrow,0.427,-8.83,0.47,0.135,0.374,85.633
141,7qaMlLPdwNiiU1Uiy1oAdO,Glory Days,0.647,-5.221,0.00686,0.119,0.268,103.919
142,1MCUz8U559nGEN377EHHaY,Young Love & Saturday Nights,0.538,-5.309,0.0223,0.257,0.505,125.989
143,4bARASJEokNacSYtEhoNBp,Burn It Down - Radio Edit,0.484,-5.23,0.11,0.193,0.281,80.995
144,28dwWN6sZQGBSZuMdCbbQY,BREAK IT IN A BAR,0.585,-5.693,0.0529,0.137,0.328,119.99
145,3vKAQFXRh0lkJdPuS5pclq,If You Were A Song,0.684,-4.833,0.171,0.173,0.501,110.476
146,103u49mLoJUge83B1CnLxI,TRUCK BED,0.662,-4.887,0.0875,0.35,0.769,132.057
147,2kE2HFBFkJ0VMw3igxYohz,Wild Ones (feat. Jelly Roll),0.65,-3.543,0.0878,0.172,0.294,136.03
148,3eNOyXmzuA46bUvi8FkIoW,Mamaw's House,0.559,-7.686,0.0177,0.0821,0.422,89.985
149,10kDUCSM3OZ99MfMcRboZB,Rain In The Rearview,0.442,-6.262,0.524,0.185,0.378,159.779
150,43SoxERu5UlXAgt4Es1VQU,Porch Light,0.647,-8.264,0.0585,0.159,0.477,142.034
151,7gaA3wERFkFkgivjwbSvkG,"yes, and?",0.788,-6.513,0.198,0.104,0.823,119.008
152,52eIcoLUM25zbQupAZYoFh,redrum,0.624,-8.445,0.00529,0.5,0.246,172.089
153,58pTPJPBjw1xL9OcLcQczU,I Remember Everything (feat. Kacey Musgraves),0.429,-7.746,0.554,0.102,0.155,77.639
154,6usohdchdzW9oML7VC4Uhk,Lose Control,0.561,-4.409,0.199,0.104,0.242,159.92
155,4kfSXPK13aXkLzuz02hCSC,greedy,0.746,-3.558,0.275,0.216,0.858,111.013
156,4w2Furap0ZzaiK4J14E9sR,Think U The Shit (Fart),0.967,-6.647,0.0403,0.0809,0.311,122.101
157,4xhsWYTOGcal8zt0J161CU,Lovin On Me,0.943,-4.911,0.0026,0.0937,0.606,104.983
158,0mflMxspEfB0VbI1kyLiAv,Stick Season,0.662,-6.894,0.782,0.102,0.817,117.913
159,6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,0.472,-5.692,0.151,0.14,0.219,105.029
160,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,0.552,-5.707,0.117,0.105,0.564,169.994
161,6uTPdRrEDeH8Fyg5L5qmeU,Never Lose Me,0.781,-7.857,0.0504,0.0981,0.0743,121.964
162,0cVyQfDyRnMJ0V3rjjdlU3,Lil Boo Thang,0.85,-3.292,0.152,0.32,0.915,114.481
163,5ZJGv7aGdIr9IGpxzSG18T,Everybody (feat. Lil Uzi Vert),0.736,-5.546,0.027,0.23,0.388,137.947
164,1udwFobQ1JoOdWPQrp2b6u,Surround Sound (feat. 21 Savage & Baby Tate),0.575,-7.302,0.173,0.257,0.471,75.956
165,2Zo1PcszsT9WQ0ANntJbID,Feather,0.787,-4.37,0.0893,0.0927,0.836,123.51
166,6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),0.855,-6.276,0.0569,0.412,0.852,99.029
167,4HMop4Re0iucehmF7mgV27,act ii: date @ 8,0.718,-13.02,0.435,0.0748,0.749,138.811
168,5aIVCx5tnk0ntmdiinnYvw,Water,0.673,-3.495,0.0856,0.137,0.519,117.187
169,1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),0.645,-4.56,0.0377,0.384,0.142,146.01
170,7dJYggqjKo71KI9sLzqCs8,Agora Hills,0.75,-6.128,0.228,0.122,0.392,123.026
171,1kuGVB7EU95pJObxwvfwKS,vampire,0.511,-5.745,0.177,0.291,0.35,138.005
172,7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",0.522,-6.287,0.0545,0.162,0.202,87.51
173,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,0.559,-7.231,0.141,0.11,0.392,143.008
174,79AHPJd8upvNxyK2qQcY8J,HISS,0.745,-5.056,0.078,0.213,0.686,167.137
175,2kE2HFBFkJ0VMw3igxYohz,Wild Ones (feat. Jelly Roll),0.65,-3.543,0.0878,0.172,0.294,136.03
176,4E63weMCaNZuGPEFMnuEi8,exes,0.821,-6.57,0.173,0.114,0.611,136.962
177,6wsqVwoiVH2kde4k4KKAFU,I KNOW ?,0.927,-4.441,0.0186,0.104,0.817,117.995
178,1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,0.671,-4.93,0.0207,0.329,0.775,110.056
179,3Pbp7cUCx4d3OAkZSCoNvn,Scared To Start,0.527,-11.258,0.384,0.403,0.443,148.035
180,6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",0.444,-17.665,0.959,0.098,0.142,78.403
181,1odExI7RdWc4BT515LTAwj,Daylight,0.508,-9.475,0.83,0.093,0.324,130.09
182,6rjuKpPydT2SxN15TZpV7r,500lbs,0.722,-5.451,0.0942,0.119,0.529,122.986
183,07on0OB2cdPt79IFsgdRUy,Need A Favor,0.502,-4.246,0.0123,0.0801,0.557,157.978
184,0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,0.656,-5.775,0.492,0.117,0.429,139.971
185,6XaJfhwof7qIgbbXO5tIQI,Igual Que Un Ángel (with Peso Pluma),0.685,-5.36,0.00348,0.183,0.464,107.999
186,56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,0.864,-7.683,0.255,0.112,0.726,99.974
187,1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,0.712,-5.52,0.186,0.115,0.67,97.994
188,56xHMIfQPoe0prrSi3BGhf,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,0.521,-7.698,0.838,0.12,0.225,141.965
189,6IG3sQ8s9nfk6TUlVzRhbN,Is It Over Now? (Taylor's Version) (From The Vault),0.595,-7.343,0.041,0.122,0.191,99.994
190,37kP0yUo66nRnFHtC5rV1M,Not My Fault (with Megan Thee Stallion),0.811,-6.081,0.1,0.395,0.854,124.01
191,1a73gcEg6h6Re6hHXoVltJ,FTCU,0.928,-6.751,0.0175,0.118,0.242,144.995
192,3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,0.504,-14.958,0.868,0.158,0.121,113.95
193,4rXLjWdF2ZZpXCVTfWcshS,fukumean,0.847,-6.747,0.119,0.285,0.22,130.001
194,4OMJGnvZfDvsePyCwRGO7X,Houdini,0.744,-4.876,0.0036,0.0947,0.866,116.985
195,1nQaTUDJ7Rc4yOvZmg9Ozr,Mmhmm,0.93,-8.799,0.028,0.129,0.962,126.003
196,5mjYQaktjmjcMKcUIcqz4s,Strangers,0.628,-8.307,0.701,0.219,0.416,169.982
197,05WVKTdZhlIMX4qqMLuo0f,BELLAKEO,0.72,-2.834,0.0562,0.153,0.463,180.011
198,3OHfY25tqY28d16oZczHc8,Kill Bill,0.644,-5.75,0.0543,0.161,0.43,88.993
199,7MSWxMumjz6lHj7oRApNbg,White Horse,0.353,-11.066,0.0016,0.109,0.224,145.225
200,4MjDJD8cW7iVeWInc2Bdyj,MONACO,0.787,-5.009,0.15,0.58,0.13,139.056
201,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,0.552,-5.707,0.117,0.105,0.564,169.994
202,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,0.637,-6.571,0.13,0.142,0.533,97.008
203,1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),0.596,-7.346,0.0504,0.127,0.176,100.012
