artist_ids,artists,count,href,genre,image,popularity
0ZED1XzwlLHW4ZaG4lOT6m,Julia Michaels,6,https://open.spotify.com/artist/0ZED1XzwlLHW4ZaG4lOT6m,['pop'],https://i.scdn.co/image/ab6761610000e5eb2c17882893491af059fb867e,73
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,6,https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq,['lgbtq+ hip hop'],https://i.scdn.co/image/ab6761610000e5eb0c3c7f83cf57525762802a1d,76
7b6Ui7JVaBDEfZB9k6nHL0,The Local Train,6,https://open.spotify.com/artist/7b6Ui7JVaBDEfZB9k6nHL0,"['hindi indie', 'indian indie', 'indian rock', 'new delhi indie']",https://i.scdn.co/image/ab6761610000e5eb7aa6748dcf92d2eff597f154,60
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,5,https://open.spotify.com/artist/5ZsFI1h6hIdQRw2ti0hz81,"['pop', 'uk pop']",https://i.scdn.co/image/ab6761610000e5eb056f821a5186892979410deb,75
5JMLG56F1X5mFmWNmS0iAp,Chelsea Cutler,5,https://open.spotify.com/artist/5JMLG56F1X5mFmWNmS0iAp,['alt z'],https://i.scdn.co/image/ab6761610000e5eb15f3edcade37af91b35e9096,66
6KImCVD70vtIoJWnq6nGn3,Harry Styles,5,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3,['pop'],https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,84
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,5,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,['pop'],https://i.scdn.co/image/ab6761610000e5ebd254ca4d4fb43ef3051be3d7,89
16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,5,https://open.spotify.com/artist/16oZKvXb6WkQlVAjwo2Wbg,"['folk-pop', 'modern rock', 'stomp and holler']",https://i.scdn.co/image/ab6761610000e5ebc79f78fd72a3e5faf699a8be,77
4AQrqVz6BYwy29iMxcGtx7,Roosevelt,5,https://open.spotify.com/artist/4AQrqVz6BYwy29iMxcGtx7,"['indie emo', 'nu disco', 'shiver pop']",https://i.scdn.co/image/ab6761610000e5eb05858f274692344c6f5ee13a,56
19LIHDDSHBD5NyYHI3gpzB,Shilpa Rao,5,https://open.spotify.com/artist/19LIHDDSHBD5NyYHI3gpzB,"['filmi', 'modern bollywood']",https://i.scdn.co/image/ab6761610000e5ebada368118a052fb40d3f1a68,75
