track_id,track_name,artists,album,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,playlist
2WU4ET9r25IVZGQkWOM2UL,Human - Acoustic,"Jon Bellion, ",Human (Acoustic),0.48,0.127,0.217,0.892,0.0,0.173,0.324,182.389,6.0,1.0,hodgepodge.
552vJkyV7hQmPSjmgwPa5Z,100 words,"Prateek Kuhad, ",cold / mess,0.468,0.438,0.0347,0.887,0.368,0.114,0.58,76.139,3.0,1.0,hodgepodge.
3ZOD3aghbxBkgKsLu2jOEK,These Memories,"Hollow Coves, ",Wanderlust,0.521,0.265,0.0319,0.961,0.133,0.0676,0.392,77.519,1.0,1.0,hodgepodge.
3wJmcmAh2YAfDSKQR8o1XS,In Your Arms,"Chef'Special, ",Passing Through,0.669,0.406,0.0501,0.646,1.27e-05,0.112,0.362,92.964,5.0,1.0,hodgepodge.
3uaUaKlHgE9uDZtYyJDEKO,Aasman Ki Dukaan,"Swarathma, ",Raah-e-Fakira,0.318,0.54,0.0322,0.404,0.000107,0.125,0.231,65.342,6.0,1.0,hodgepodge.
2Gl0FzuLxflY6nPifJp5Dr,First Time,"Kygo, Ellie Goulding, ",First Time,0.633,0.592,0.112,0.197,0.0,0.099,0.679,90.066,0.0,0.0,hodgepodge.
18uwL0vNUanqZH0ro2QcOP,comethru,"Jeremy Zucker, ","summer,",0.795,0.178,0.0574,0.607,0.0,0.623,0.608,93.982,0.0,1.0,hodgepodge.
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),"Powfu, beabadoobee, ",death bed (coffee for your head),0.726,0.431,0.135,0.731,0.0,0.696,0.348,144.026,8.0,0.0,hodgepodge.
1almCHdsfikRPfVB9VrEdT,Little Do You Know,"Alex & Sierra, ",It's About Us,0.5,0.292,0.0323,0.746,0.0,0.188,0.37,145.879,0.0,1.0,hodgepodge.
2Fxmhks0bxGSBdJ92vM42m,bad guy,"Billie Eilish, ","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0.701,0.425,0.375,0.328,0.13,0.1,0.562,135.128,7.0,1.0,hodgepodge.
09IStsImFySgyp0pIQdqAc,The Middle,"Zedd, Maren Morris, Grey, ",The Middle,0.753,0.657,0.0449,0.171,0.0,0.112,0.437,107.01,7.0,1.0,hodgepodge.
1VdZ0vKfR5jneCmWIUAMxK,The A Team,"Ed Sheeran, ",+,0.642,0.289,0.0367,0.669,0.0,0.18,0.407,84.996,9.0,1.0,hodgepodge.
0HOVwkHQmGlVfwb8OQflEC,with you/for you,"Prateek Kuhad, ",cold / mess,0.732,0.309,0.0361,0.811,0.175,0.106,0.322,114.095,6.0,1.0,hodgepodge.
3TaoFBplKZB4AclYV2cDwT,Firefly,"When Chai Met Toast, ",Joy of Little Things,0.533,0.828,0.0353,0.161,0.00242,0.0588,0.391,79.947,11.0,1.0,hodgepodge.
1pV9TLnQdOHbvourRO7x4m,comethru (bonus track),"Jeremy Zucker, ",love is not dying,0.795,0.18,0.0608,0.59,0.0,0.621,0.611,94.02,0.0,1.0,hodgepodge.
1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,"Sasha Alex Sloan, ",Dancing With Your Ghost,0.629,0.328,0.029,0.768,2.5e-05,0.103,0.389,74.953,11.0,1.0,hodgepodge.
