track_id,track_name,artists,album,valence
4u7EnebtmKWzUH433cf5Qv,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (2011 Remaster),0.224
3Q3ICXEHo0xKV06WPNt8Wq,Take On Me,a-ha,50 Retro Songs To Hear While You're Still Alive,0.825
7JrUo70YjhU4S7flcJtK0k,Wonderwall,Oasis,[What's The Story] Morning Glory,0.486
2AT8iROs4FQueDv2c8q2KE,R U Mine?,Arctic Monkeys,AM,0.619
3HfHBnADHAKPW9xhhLnKtg,Giving Up,Whitney,Forever Turned Around,0.166
2hIsd0F6ZGfHCC1xa7vSad,Each Time You Fall in Love,Cigarettes After Sex,Cigarettes After Sex,0.285
2k9N4caeCIJLOWwWwssrEM,Easily,Bruno Major,A Song For Every Moon,0.357
4r9hiElqKWMPT4Z3vN2exq,A Lovely Night,"Ryan Gosling, Emma Stone",La La Land (Original Motion Picture Soundtrack),0.493
6Tio0ZoDeSQnI7EBAqWer2,Cover Me In Sunshine,"P!nk, Willow Sage Hart",Cover Me In Sunshine,0.314
6J2LdBN97cDWn0MLxYh9HB,July,Noah Cyrus,THE END OF EVERYTHING,0.322
7gGBgh0bVxHPgZjA505bo9,Break My Heart Again,FINNEAS,Blood Harmony (Deluxe),0.489
2CSrG5fnBpcdfPXg7sJUBi,The Book of You & I,Alec Benjamin,These Two Windows,0.485
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),0.478
0RbW8kWozrVSIGb4V13o0o,Hurricane,Kanye West,Donda,0.351
0upFohXrGxIIAjyaJmCkMU,"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack",Teriyaki Boyz,Tokyo Drift (Fast & Furious),0.936
5GGEJhZ5xjbU7UhSlipuoq,Don't Change,Why Don't We,Don't Change,0.237
17rZE0vrMNGkRAKJu3Qmk3,Overtime,Indie Inconvenience,Overtime,0.156
6aGjEZ7kq3YXgD0EDt80O5,Live While We're Young,One Direction,Take Me Home: Yearbook Edition,0.936
5v7ZDlIs3NppqALpTeWWHS,Cause I Don't Care When I'm with My Baby,Max Mazing,Cause I Don't Care When I'm with My Baby,0.793
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,Animal (Expanded Edition),0.714
1tfVpMI8G6EakZU4rEja4w,Sing Me to Sleep,Alan Walker,Different World,0.158
4n7jnSxVLd8QioibtTDBDq,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",On My Way,0.297
698ItKASDavgwZ3WjaWjtz,Faded,Alan Walker,Different World,0.159
0lks2Kt9veMOFEAPN0fsqN,Lily,"Alan Walker, K-391, Emelie Hollow",Different World,0.467
1zB4vmk8tFRmM9UULNzbLB,Thunder,Imagine Dragons,Evolve,0.288
0puf9yIluy9W0vpMEUoAnN,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",Sweet Talker (Deluxe Version),0.751
3h4T9Bg8OVSUYa6danHeH5,Animals,Maroon 5,V (Asia Tour Edition),0.328
18A7ha5BitZjmdHTCwXFbU,Cradles,Sub Urban,Cradles,0.63
3eR23VReFzcdmS7TYCrhCe,It Ain't Me (with Selena Gomez),"Kygo, Selena Gomez",It Ain't Me (with Selena Gomez),0.515
58q2HKrzhC3ozto2nDdN4z,I Like It,"Cardi B, Bad Bunny, J Balvin",Invasion of Privacy,0.65
4zb3kFL9fXrrfTwIY4CcDy,Flux,Ellie Goulding,Flux,0.302
6KfoDhO4XUWSbnyKjNp9c4,Maniac,Conan Gray,Kid Krow,0.493
55n9yjI6qqXh5F2mYvUc2y,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",reputation Stadium Tour Surprise Song Playlist,0.106
3AGOgQzp0YcPH41u9p7dOp,Glad You Came,The Wanted,The Wanted (Special Edition),0.431
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),0.913
3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,Coldplay,A Head Full of Dreams,0.412
5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit, Sean Paul, Anne-Marie",Rockabye (feat. Sean Paul & Anne-Marie),0.742
6Pgkp4qUoTmJIPn7ReaGxL,Without You (feat. Sandro Cavazza),"Avicii, Sandro Cavazza",AVĪCI (01),0.295
2K87XMYnUMqLcX3zvtAF4G,Drag Me Down,One Direction,Made In The A.M. (Deluxe Edition),0.595
3NLnwwAQbbFKcEcV8hDItk,Perfect,One Direction,Made In The A.M. (Deluxe Edition),0.396
09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,Purpose (Deluxe),0.41
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Justin Bieber,Purpose (Deluxe),0.515
3S4px9f4lceWdKf0gWciFu,Cheap Thrills,Sia,This Is Acting (Deluxe Version),0.732
0azC730Exh71aQlOt9Zj3y,This Is What You Came For,"Calvin Harris, Rihanna",This Is What You Came For,0.465
1MtUq6Wp1eQ8PC6BbPCj8P,I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb","At Night, Alone.",0.71
2iuZJX9X9P0GKaE93xcPjk,Sugar,Maroon 5,V,0.884
4h8VwCb1MTGoLKueQ1WgbD,Wake Me Up,Avicii,True,0.643
6sy3LkhNFjJWlaeSMNwQ62,Counting Stars,OneRepublic,Native,0.477
5jsw9uXEGuKyJzs0boZ1bT,Stitches,Shawn Mendes,Handwritten,0.755
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,FOUR (Deluxe),0.37
6nek1Nin9q48AVZcWs9e9D,Paradise,Coldplay,Mylo Xyloto,0.212
0sQLhT32E9ZG2zn5iYR6nN,Locked Away (feat. Adam Levine),"R. City, Adam Levine",Locked Away (feat. Adam Levine),0.575
7BKLCZ1jbUBVqRi2FVlTVw,Closer,"The Chainsmokers, Halsey",Closer,0.661
7zsXy7vlHdItvUSH8EwQss,Cold Water,"Major Lazer, Justin Bieber, MØ",Cold Water,0.501
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,"DJ Snake, Justin Bieber",Encore,0.163
6i0V12jOa3mr6uu4WYhUBr,Heathens,Twenty One Pilots,Heathens,0.548
37FXw5QGFN7uwwsLy8uAc0,We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",Nine Track Mind,0.352
5kqIPrATaCc2LqxVWzQGbk,7 Years,Lukas Graham,Lukas Graham,0.34
3QGsuHI8jO1Rx4JWLUh9jd,Treat You Better,Shawn Mendes,Illuminate,0.747
0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK,ZAYN,Mind Of Mine (Deluxe Edition),0.438
22VdIZQfgXJea34mQxlt81,Can't Feel My Face,The Weeknd,Beauty Behind The Madness,0.583
6XQHlsNu6so4PdglFkJQRJ,"City Of Stars - From ""La La Land"" Soundtrack","Ryan Gosling, Emma Stone",La La Land (Original Motion Picture Soundtrack),0.434
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,÷ (Deluxe),0.931
15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,"Eminem, Rihanna",Recovery,0.641
6RUKPb4LETWmmr3iAEQktW,Something Just Like This,"The Chainsmokers, Coldplay",Memories...Do Not Open,0.446
0afhq8XCExXpqazXczTSve,Galway Girl,Ed Sheeran,÷ (Deluxe),0.781
5cF0dROlMOK5uNZtivgu50,Attention,Charlie Puth,Voicenotes,0.797
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,DAMN.,0.421
0VgkVdmE4gld66l8iyGjgx,Mask Off,Future,FUTURE,0.281
7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate (Deluxe),0.969
2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park,Meteora,0.243
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,Evolve,0.666
6kex4EBAj0WHXDKZMEJaaF,Swalla (feat. Nicki Minaj & Ty Dolla $ign),"Jason Derulo, Nicki Minaj, Ty Dolla $ign",Swalla (feat. Nicki Minaj & Ty Dolla $ign),0.782
4Ro98RCK90oHqqSZUnTFq5,Strip That Down,"Liam Payne, Quavo",Strip That Down,0.542
4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,Justin Bieber,Purpose (Deluxe),0.793
3VlbOrM6nYPprVvzBZllE5,Too Good At Goodbyes,Sam Smith,The Thrill Of It All (Special Edition),0.476
1cS0TgbR263ey9jn0MwD2s,River (feat. Ed Sheeran),"Eminem, Ed Sheeran",Revival,0.659
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out,Twenty One Pilots,Blurryface,0.648
4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),"USHER, Pitbull",Raymond v Raymond (Expanded Edition),0.654
3GpbwCm3YxiWDvy29Uo3vP,Right Round,"Flo Rida, Kesha",R.O.O.T.S. (Route of Overcoming the Struggle),0.705
2bdCO4UTMX1ennK2I4rFpD,Always,Isak Danielson,Yours,0.55
14BH4qO7pgCmIe6mgLKOK3,Someone To You,BANNERS,Empires On Fire,0.663
20I6sIOMTCkB6w7ryavxtO,Call Me Maybe,Carly Rae Jepsen,Kiss,0.66
0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,1989 (Deluxe),0.942
7l1qvxWjxcKpB9PCtBuTbU,Count on Me,Bruno Mars,Doo-Wops & Hooligans,0.501
0W6I02J9xcqK8MtSeosEXb,Get Into It (Yuh),Doja Cat,Planet Her,0.793
4EivmOT13NMpNSfTKn9p4s,Like That (feat. Gucci Mane),"Doja Cat, Gucci Mane",Hot Pink,0.405
4OAuvHryIVv4kMDNSLuPt6,Red (Taylor's Version),Taylor Swift,Red (Taylor's Version),0.408
3Uo7WG0vmLQ07WB4BDwy7D,willow,Taylor Swift,evermore,0.549
2MJz8BxxMsERULatmBikDH,At My Worst,Pink Sweat$,PINK PLANET,0.667
5378LoNbSAXftlSJCsiFWL,I'm A Freak,"Enrique Iglesias, Pitbull",SEX AND LOVE,0.802
1q1LT5ho3zrIjpvxMdJxYx,Heart Attack,Enrique Iglesias,SEX AND LOVE,0.458
5vTPxzm4h2bY9rYyVrGEU5,Really Don't Care,"Demi Lovato, Cher Lloyd",Demi,0.851
2mt1IqcFyY1zmYZT8Q3xw9,hot girl bummer,blackbear,everything means nothing,0.685
6GREIx79VAYuT0DYDGTIJh,Heartbeat,"Enrique Iglesias, Nicole Scherzinger",Euphoria,0.41
0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,Coldplay,Ghost Stories,0.162
7GJ572zvnU94VZVrj5XRtb,Spirits,The Strumbellas,Hope,0.787
3NFuE3uDOr6QUw9UZ9HzKo,Sugar (feat. Francesco Yates),"Robin Schulz, Francesco Yates",Sugar (feat. Francesco Yates),0.636
3dYD57lRAUcMHufyqn9GcI,Take Me To Church,Hozier,Hozier,0.437
4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,abcdefu,0.415
3BZEcbdtXQSo7OrvKRJ6mb,MONTERO (Call Me By Your Name),Lil Nas X,MONTERO (Call Me By Your Name),0.758
3z06k8YF9CqX0CGFrlekOK,everything sucks,vaultboy,everything sucks,0.653
3B7udSGy2PfgoCniMSb523,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,The Hobbit - The Desolation Of Smaug (Original Motion Picture Soundtrack / Special Edition),0.234
152lZdxL1OR0ZMW6KquMif,Location,Khalid,American Teen,0.326
6YIivt0G3ZUuNrM62jp9pL,Way Less Sad,AJR,OK ORCHESTRA,0.409
0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,The Days / Nights,0.654
2RttW7RAu5nOAfq6YFvApB,Happier,Ed Sheeran,÷ (Deluxe),0.236
2dpaYNEQHiRxtZbfNsse99,Happier,"Marshmello, Bastille",Happier,0.671
1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",Freudian,0.436
0AS63m1wHv9n4VVRizK6Hc,Mercy,Shawn Mendes,Illuminate (Deluxe),0.356
6M31fPFCYB8Job3MCjjrDV,They Don't Know About Us,One Direction,Take Me Home (Expanded Edition),0.37
3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,Joel Adams,Please Don't Go,0.235
6VrLYoQKdhu1Jruei06t65,Somebody To You,The Vamps,Meet The Vamps,0.896
7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)","gnash, Olivia O'Brien",us,0.18
